% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-5.870192000000e-03, 8.891061e-01, 3.110304e-03, -7.596166e+01
-5.852816000000e-03, 8.439180e-01, 3.127680e-03, -6.798706e+01
-5.835440000000e-03, 7.498779e-01, 3.145056e-03, -6.914278e+01
-5.818064000000e-03, 6.509526e-01, 3.162432e-03, -7.417335e+01
-5.800688000000e-03, 4.702003e-01, 3.179808e-03, -8.213827e+01
-5.783312000000e-03, 3.053249e-01, 3.197184e-03, -7.232203e+01
-5.765936000000e-03, 1.013679e-01, 3.214560e-03, -6.606503e+01
-5.748560000000e-03, -8.060577e-02, 3.231936e-03, -6.420687e+01
-5.731184000000e-03, -2.931119e-01, 3.249312e-03, -6.577905e+01
-5.713808000000e-03, -4.555447e-01, 3.266688e-03, -6.945860e+01
-5.696432000000e-03, -5.923303e-01, 3.284064e-03, -6.760425e+01
-5.679056000000e-03, -7.303371e-01, 3.301440e-03, -6.172577e+01
-5.661680000000e-03, -7.975086e-01, 3.318816e-03, -5.832210e+01
-5.644304000000e-03, -8.439180e-01, 3.336192e-03, -5.799296e+01
-5.626928000000e-03, -8.219346e-01, 3.353568e-03, -6.018939e+01
-5.609552000000e-03, -8.500245e-01, 3.370944e-03, -6.141934e+01
-5.592176000000e-03, -7.559844e-01, 3.388320e-03, -5.530744e+01
-5.574800000000e-03, -6.631656e-01, 3.405696e-03, -5.047339e+01
-5.557424000000e-03, -5.190523e-01, 3.423072e-03, -4.882575e+01
-5.540048000000e-03, -3.383000e-01, 3.440448e-03, -5.032679e+01
-5.522672000000e-03, -1.538837e-01, 3.457824e-03, -5.584653e+01
-5.505296000000e-03, 5.129458e-02, 3.475200e-03, -7.592596e+01
-5.487920000000e-03, 2.320469e-01, 3.492576e-03, -6.199999e+01
-5.470544000000e-03, 4.445530e-01, 3.509952e-03, -5.921493e+01
-5.453168000000e-03, 5.776747e-01, 3.527328e-03, -6.133203e+01
-5.435792000000e-03, 6.949194e-01, 3.544704e-03, -6.974162e+01
-5.418416000000e-03, 7.852956e-01, 3.562080e-03, -8.310263e+01
-5.401040000000e-03, 8.561310e-01, 3.579456e-03, -6.811409e+01
-5.383664000000e-03, 8.878848e-01, 3.596832e-03, -6.522709e+01
-5.366288000000e-03, 8.597949e-01, 3.614208e-03, -6.616947e+01
-5.348912000000e-03, 8.390328e-01, 3.631584e-03, -5.860939e+01
-5.331536000000e-03, 7.181241e-01, 3.648960e-03, -4.860067e+01
-5.314160000000e-03, 6.118711e-01, 3.666336e-03, -3.518214e+01
-5.296784000000e-03, 4.372252e-01, 3.683712e-03, -2.868094e+01
-5.279408000000e-03, 2.601368e-01, 3.701088e-03, -2.580592e+01
-5.262032000000e-03, 5.740108e-02, 3.718464e-03, -2.582713e+01
-5.244656000000e-03, -1.282364e-01, 3.735840e-03, -2.873754e+01
-5.227280000000e-03, -3.212018e-01, 3.753216e-03, -3.522053e+01
-5.209904000000e-03, -5.117245e-01, 3.770592e-03, -4.802864e+01
-5.192528000000e-03, -6.314119e-01, 3.787968e-03, -6.141671e+01
-5.175152000000e-03, -7.510992e-01, 3.805344e-03, -6.501523e+01
-5.157776000000e-03, -7.865169e-01, 3.822720e-03, -5.882339e+01
-5.140400000000e-03, -8.341476e-01, 3.840096e-03, -6.213945e+01
-5.123024000000e-03, -8.268198e-01, 3.857472e-03, -6.985865e+01
-5.105648000000e-03, -8.219346e-01, 3.874848e-03, -7.109757e+01
-5.088272000000e-03, -7.486566e-01, 3.892224e-03, -6.776951e+01
-5.070896000000e-03, -6.191989e-01, 3.909600e-03, -6.619548e+01
-5.053520000000e-03, -4.836346e-01, 3.926976e-03, -6.613661e+01
-5.036144000000e-03, -2.943332e-01, 3.944352e-03, -6.511702e+01
-5.018768000000e-03, -1.123596e-01, 3.961728e-03, -6.511797e+01
-5.001392000000e-03, 1.013679e-01, 3.979104e-03, -6.855092e+01
-4.984016000000e-03, 2.723498e-01, 3.996480e-03, -7.367297e+01
-4.966640000000e-03, 4.738642e-01, 4.013856e-03, -7.130272e+01
-4.949264000000e-03, 6.240841e-01, 4.031232e-03, -6.843229e+01
-4.931888000000e-03, 7.278945e-01, 4.048608e-03, -6.462884e+01
-4.914512000000e-03, 8.304837e-01, 4.065984e-03, -6.146495e+01
-4.897136000000e-03, 8.720079e-01, 4.083360e-03, -6.027338e+01
-4.879760000000e-03, 8.842209e-01, 4.100736e-03, -6.125861e+01
-4.862384000000e-03, 8.353689e-01, 4.118112e-03, -6.411858e+01
-4.845008000000e-03, 8.255985e-01, 4.135488e-03, -6.815159e+01
-4.827632000000e-03, 6.998046e-01, 4.152864e-03, -7.231005e+01
-4.810256000000e-03, 5.703469e-01, 4.170240e-03, -7.059056e+01
-4.792880000000e-03, 4.030288e-01, 4.187616e-03, -6.845984e+01
-4.775504000000e-03, 2.161700e-01, 4.204992e-03, -6.879503e+01
-4.758128000000e-03, 1.831949e-02, 4.222368e-03, -6.738659e+01
-4.740752000000e-03, -1.819736e-01, 4.239744e-03, -6.184183e+01
-4.723376000000e-03, -3.480704e-01, 4.257120e-03, -5.663942e+01
-4.706000000000e-03, -5.495848e-01, 4.274496e-03, -5.369792e+01
-4.688624000000e-03, -6.619443e-01, 4.291872e-03, -5.324632e+01
-4.671248000000e-03, -7.413288e-01, 4.309248e-03, -5.576083e+01
-4.653872000000e-03, -8.036151e-01, 4.326624e-03, -5.974407e+01
-4.636496000000e-03, -8.610162e-01, 4.344000e-03, -5.428691e+01
-4.619120000000e-03, -8.524671e-01, 4.361376e-03, -5.079364e+01
-4.601744000000e-03, -7.987299e-01, 4.378752e-03, -5.075177e+01
-4.584368000000e-03, -7.425501e-01, 4.396128e-03, -5.392640e+01
-4.566992000000e-03, -5.825599e-01, 4.413504e-03, -6.091160e+01
-4.549616000000e-03, -4.445530e-01, 4.430880e-03, -6.822320e+01
-4.532240000000e-03, -2.515877e-01, 4.448256e-03, -6.709033e+01
-4.514864000000e-03, -6.839277e-02, 4.465632e-03, -6.722322e+01
-4.497488000000e-03, 1.453346e-01, 4.483008e-03, -6.800029e+01
-4.480112000000e-03, 3.224231e-01, 4.500384e-03, -6.992003e+01
-4.462736000000e-03, 4.921837e-01, 4.517760e-03, -8.108482e+01
-4.445360000000e-03, 6.595017e-01, 4.535136e-03, -6.826999e+01
-4.427984000000e-03, 7.608696e-01, 4.552512e-03, -6.130184e+01
-4.410608000000e-03, 8.451393e-01, 4.569888e-03, -5.920735e+01
-4.393232000000e-03, 8.488032e-01, 4.587264e-03, -6.010692e+01
-4.375856000000e-03, 8.866635e-01, 4.604640e-03, -6.334459e+01
-4.358480000000e-03, 8.353689e-01, 4.622016e-03, -6.740354e+01
-4.341104000000e-03, 7.975086e-01, 4.639392e-03, -6.911985e+01
-4.323728000000e-03, 6.875916e-01, 4.656768e-03, -6.866939e+01
-4.306352000000e-03, 5.251588e-01, 4.674144e-03, -6.907061e+01
-4.288976000000e-03, 3.676112e-01, 4.691520e-03, -7.264777e+01
-4.271600000000e-03, 1.673180e-01, 4.708896e-03, -7.657027e+01
-4.254224000000e-03, -1.831949e-02, 4.726272e-03, -7.150056e+01
-4.236848000000e-03, -2.332682e-01, 4.743648e-03, -6.930974e+01
-4.219472000000e-03, -3.871519e-01, 4.761024e-03, -6.944150e+01
-4.202096000000e-03, -5.532487e-01, 4.778400e-03, -7.003654e+01
-4.184720000000e-03, -6.741573e-01, 4.795776e-03, -6.977153e+01
-4.167344000000e-03, -7.596483e-01, 4.813152e-03, -6.857422e+01
-4.149968000000e-03, -8.390328e-01, 4.830528e-03, -6.686374e+01
-4.132592000000e-03, -8.426967e-01, 4.847904e-03, -6.629932e+01
-4.115216000000e-03, -8.329263e-01, 4.865280e-03, -6.874424e+01
-4.097840000000e-03, -7.596483e-01, 4.882656e-03, -7.493956e+01
-4.080464000000e-03, -7.083537e-01, 4.900032e-03, -7.469336e+01
-4.063088000000e-03, -5.508061e-01, 4.917408e-03, -7.604117e+01
-4.045712000000e-03, -3.957010e-01, 4.934784e-03, -7.198067e+01
