% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-2.757888000000e-03, 8.182707e-02, 2.128896e-03, -6.832601e+01
-2.747136000000e-03, -7.816317e-02, 2.139648e-03, -6.885586e+01
-2.736384000000e-03, -2.063996e-01, 2.150400e-03, -6.980820e+01
-2.725632000000e-03, -2.857841e-01, 2.161152e-03, -7.092149e+01
-2.714880000000e-03, -4.079140e-01, 2.171904e-03, -7.294541e+01
-2.704128000000e-03, -5.373718e-01, 2.182656e-03, -7.729978e+01
-2.693376000000e-03, -6.265267e-01, 2.193408e-03, -8.986346e+01
-2.682624000000e-03, -6.656082e-01, 2.204160e-03, -8.057159e+01
-2.671872000000e-03, -7.254519e-01, 2.214912e-03, -7.982626e+01
-2.661120000000e-03, -7.804104e-01, 2.225664e-03, -7.139310e+01
-2.650368000000e-03, -8.011725e-01, 2.236416e-03, -5.944253e+01
-2.639616000000e-03, -8.353689e-01, 2.247168e-03, -5.423489e+01
-2.628864000000e-03, -8.720079e-01, 2.257920e-03, -5.251999e+01
-2.618112000000e-03, -8.781144e-01, 2.268672e-03, -5.351019e+01
-2.607360000000e-03, -8.060577e-01, 2.279424e-03, -5.690115e+01
-2.596608000000e-03, -7.962873e-01, 2.290176e-03, -6.248660e+01
-2.585856000000e-03, -7.791891e-01, 2.300928e-03, -7.070420e+01
-2.575104000000e-03, -6.863703e-01, 2.311680e-03, -7.494722e+01
-2.564352000000e-03, -5.850025e-01, 2.322432e-03, -6.842012e+01
-2.553600000000e-03, -5.105032e-01, 2.333184e-03, -5.240044e+01
-2.542848000000e-03, -4.323400e-01, 2.343936e-03, -4.330972e+01
-2.532096000000e-03, -2.784563e-01, 2.354688e-03, -3.847330e+01
-2.521344000000e-03, -1.599902e-01, 2.365440e-03, -3.672241e+01
-2.510592000000e-03, -7.449927e-02, 2.376192e-03, -3.779468e+01
-2.499840000000e-03, 5.007328e-02, 2.386944e-03, -4.205371e+01
-2.489088000000e-03, 2.051783e-01, 2.397696e-03, -5.134444e+01
-2.478336000000e-03, 3.212018e-01, 2.408448e-03, -6.937302e+01
-2.467584000000e-03, 3.932584e-01, 2.419200e-03, -6.205743e+01
-2.456832000000e-03, 5.227162e-01, 2.429952e-03, -6.887273e+01
-2.446080000000e-03, 6.338545e-01, 2.440704e-03, -7.049288e+01
-2.435328000000e-03, 6.961407e-01, 2.451456e-03, -6.652518e+01
-2.424576000000e-03, 7.547631e-01, 2.462208e-03, -6.436138e+01
-2.413824000000e-03, 8.158281e-01, 2.472960e-03, -6.521660e+01
-2.403072000000e-03, 8.536884e-01, 2.483712e-03, -6.887980e+01
-2.392320000000e-03, 8.317050e-01, 2.494464e-03, -7.654660e+01
-2.381568000000e-03, 8.646801e-01, 2.505216e-03, -8.007542e+01
-2.370816000000e-03, 8.891061e-01, 2.515968e-03, -7.579827e+01
-2.360064000000e-03, 8.646801e-01, 2.526720e-03, -7.752377e+01
-2.349312000000e-03, 8.121642e-01, 2.537472e-03, -7.679656e+01
-2.338560000000e-03, 7.914021e-01, 2.548224e-03, -7.109532e+01
-2.327808000000e-03, 7.620909e-01, 2.558976e-03, -6.833979e+01
-2.317056000000e-03, 6.387396e-01, 2.569728e-03, -6.589660e+01
-2.306304000000e-03, 5.520274e-01, 2.580480e-03, -6.087553e+01
-2.295552000000e-03, 4.799707e-01, 2.591232e-03, -5.482023e+01
-2.284800000000e-03, 3.724964e-01, 2.601984e-03, -5.014953e+01
-2.274048000000e-03, 2.234978e-01, 2.612736e-03, -4.759633e+01
-2.263296000000e-03, 1.086957e-01, 2.623488e-03, -4.729793e+01
-2.252544000000e-03, 2.320469e-02, 2.634240e-03, -4.938206e+01
-2.241792000000e-03, -1.294577e-01, 2.644992e-03, -5.414363e+01
-2.231040000000e-03, -2.674646e-01, 2.655744e-03, -6.174179e+01
-2.220288000000e-03, -3.578408e-01, 2.666496e-03, -6.797536e+01
-2.209536000000e-03, -4.445530e-01, 2.677248e-03, -7.207850e+01
-2.198784000000e-03, -5.569126e-01, 2.688000e-03, -7.832380e+01
-2.188032000000e-03, -6.448461e-01, 2.698752e-03, -7.782636e+01
-2.177280000000e-03, -6.802638e-01, 2.709504e-03, -8.014567e+01
-2.166528000000e-03, -7.437714e-01, 2.720256e-03, -6.661912e+01
-2.155776000000e-03, -8.097216e-01, 2.731008e-03, -6.291803e+01
-2.145024000000e-03, -8.488032e-01, 2.741760e-03, -6.326543e+01
-2.134272000000e-03, -8.280411e-01, 2.752512e-03, -6.673860e+01
-2.123520000000e-03, -8.475819e-01, 2.763264e-03, -7.447789e+01
-2.112768000000e-03, -8.488032e-01, 2.774016e-03, -8.046592e+01
-2.102016000000e-03, -7.865169e-01, 2.784768e-03, -7.398337e+01
-2.091264000000e-03, -7.486566e-01, 2.795520e-03, -7.487431e+01
-2.080512000000e-03, -7.230093e-01, 2.806272e-03, -8.630480e+01
-2.069760000000e-03, -6.582804e-01, 2.817024e-03, -7.131072e+01
-2.059008000000e-03, -5.288227e-01, 2.827776e-03, -6.473250e+01
